id,rarity,generation,mainClass,subClass,statBoost1,statBoost2,profession,summons,maxSummons,soldPrice,timeStamp
60835,common,3,Monk,Monk,INT,LCK,mining,7,7,75,2022-01-27 22:59:50
58754,common,3,Wizard,Priest,AGI,AGI,mining,5,5,"78,2",2022-01-27 22:59:25
103856,common,2,Archer,Priest,VIT,WIS,mining,6,7,74,2022-01-27 22:58:36
103993,rare,2,Knight,Monk,LCK,DEX,gardening,5,5,81,2022-01-27 22:58:15
44227,common,2,Thief,Wizard,AGI,LCK,mining,5,5,80,2022-01-27 22:57:23
89831,common,1,Thief,Archer,AGI,LCK,mining,5,10,80,2022-01-27 22:56:52
101144,uncommon,3,Thief,Pirate,AGI,LCK,mining,2,2,70,2022-01-27 22:56:52
83101,common,1,Archer,Warrior,DEX,LCK,mining,5,10,80,2022-01-27 22:56:10
103855,uncommon,2,Monk,Wizard,AGI,LCK,gardening,7,9,45,2022-01-27 22:56:08
99044,common,3,Ninja,Pirate,STR,LCK,gardening,4,4,66,2022-01-27 22:55:26
103693,uncommon,4,Priest,Knight,AGI,WIS,mining,1,1,66,2022-01-27 22:55:16
60252,uncommon,2,Priest,Thief,INT,AGI,mining,1,1,69,2022-01-27 22:54:16
96256,uncommon,2,Thief,Pirate,LCK,INT,mining,4,6,69,2022-01-27 22:53:41
78742,legendary,2,Thief,Monk,WIS,INT,fishing,2,4,160,2022-01-27 22:52:41
106122,common,2,Priest,Warrior,INT,AGI,mining,5,5,64,2022-01-27 22:52:40
97604,common,1,Archer,Wizard,INT,DEX,fishing,5,10,48,2022-01-27 22:51:10
101234,uncommon,3,Archer,Pirate,VIT,WIS,mining,3,4,63,2022-01-27 22:50:52
102083,common,4,Paladin,Thief,WIS,INT,gardening,2,3,62,2022-01-27 22:50:11
52615,common,3,Wizard,Thief,LCK,DEX,foraging,6,8,45,2022-01-27 22:49:49
104833,uncommon,2,Monk,Monk,VIT,AGI,fishing,6,6,49,2022-01-27 22:49:11
94388,uncommon,2,Thief,Monk,INT,AGI,foraging,6,9,45,2022-01-27 22:48:41
102252,rare,3,Priest,Archer,VIT,DEX,gardening,4,6,70,2022-01-27 22:48:31
93233,uncommon,3,Thief,Priest,DEX,VIT,fishing,4,4,72,2022-01-27 22:48:25
71638,uncommon,2,Pirate,Knight,STR,STR,fishing,5,5,80,2022-01-27 22:46:05
85248,uncommon,2,Archer,Warrior,DEX,STR,foraging,0,0,75,2022-01-27 22:45:57
102852,uncommon,3,Priest,Warrior,AGI,END,gardening,2,2,65,2022-01-27 22:45:43
80895,common,1,Priest,Knight,INT,LCK,fishing,4,10,57,2022-01-27 22:45:39
80976,common,1,Priest,Warrior,VIT,DEX,foraging,5,10,59,2022-01-27 22:44:08
53628,uncommon,3,Priest,Priest,AGI,LCK,foraging,1,2,"68,8",2022-01-27 22:43:30
106240,common,1,Thief,Warrior,VIT,VIT,foraging,9,10,85,2022-01-27 22:43:25
103353,common,2,Priest,Pirate,END,LCK,fishing,9,9,56,2022-01-27 22:42:25
104372,common,1,Archer,Pirate,END,VIT,foraging,9,10,100,2022-01-27 22:42:04
100910,common,2,Wizard,Pirate,INT,END,fishing,6,6,47,2022-01-27 22:42:02
9959,uncommon,2,DarkKnight,Warrior,AGI,VIT,fishing,0,5,95,2022-01-27 22:41:30
44589,common,2,Ninja,Archer,VIT,AGI,fishing,0,1,140,2022-01-27 22:41:04
5151,common,1,Pirate,Knight,WIS,INT,mining,4,10,125,2022-01-27 22:39:53
106332,common,1,Monk,Knight,WIS,WIS,mining,10,10,120,2022-01-27 22:39:26
104141,common,1,Wizard,Warrior,INT,AGI,foraging,10,10,88,2022-01-27 22:37:54
51728,common,5,Thief,Priest,STR,END,fishing,3,3,75,2022-01-27 22:37:50
99608,common,3,DarkKnight,Pirate,STR,INT,gardening,1,4,56,2022-01-27 22:36:30
3982,uncommon,2,Wizard,Pirate,VIT,INT,foraging,4,9,89,2022-01-27 22:36:30
80581,common,2,Warrior,Archer,LCK,WIS,foraging,5,7,49,2022-01-27 22:35:22
80978,uncommon,1,Monk,Priest,VIT,INT,fishing,9,10,125,2022-01-27 22:32:18
89438,common,4,Pirate,Pirate,STR,AGI,gardening,4,4,47,2022-01-27 22:31:45
104742,common,2,DarkKnight,Monk,INT,DEX,foraging,4,5,135,2022-01-27 22:31:03
87672,common,2,Ninja,Pirate,STR,DEX,gardening,1,1,58,2022-01-27 22:30:13
106226,uncommon,2,Archer,Monk,STR,WIS,foraging,5,5,63,2022-01-27 22:29:19
82911,rare,1,Priest,Thief,INT,STR,gardening,3,10,99,2022-01-27 22:28:57
37131,common,2,Warrior,Archer,LCK,INT,foraging,1,2,60,2022-01-27 22:28:12
103448,uncommon,2,Knight,Monk,VIT,INT,fishing,5,5,"48,5",2022-01-27 22:26:02
105274,common,2,Pirate,Archer,WIS,END,foraging,6,6,45,2022-01-27 22:24:34
92974,uncommon,2,Archer,Pirate,AGI,VIT,gardening,4,4,50,2022-01-27 22:23:45
105816,common,3,Pirate,Warrior,INT,INT,gardening,7,7,42,2022-01-27 22:23:16
41800,uncommon,2,Pirate,Priest,LCK,VIT,foraging,6,8,110,2022-01-27 22:22:22
97360,common,1,Warrior,Priest,VIT,INT,mining,10,10,330,2022-01-27 22:20:14
100205,common,2,Archer,Thief,WIS,STR,gardening,5,5,"46,5",2022-01-27 22:19:47
65286,common,2,Summoner,Warrior,INT,DEX,fishing,5,5,115,2022-01-27 22:19:36
76183,common,1,Ninja,Wizard,STR,DEX,gardening,1,5,69,2022-01-27 22:18:04
104951,common,4,Pirate,Priest,LCK,WIS,fishing,1,1,58,2022-01-27 22:17:12
102183,common,2,DarkKnight,Knight,INT,LCK,mining,4,5,280,2022-01-27 22:16:03
101031,common,5,Knight,Thief,LCK,WIS,gardening,1,1,"43,15",2022-01-27 22:15:18
105760,uncommon,2,Archer,Monk,LCK,WIS,foraging,5,5,67,2022-01-27 22:14:21
35816,uncommon,2,Ninja,Priest,LCK,AGI,gardening,0,5,75,2022-01-27 22:13:29
54570,common,2,DarkKnight,Warrior,WIS,INT,foraging,0,2,73,2022-01-27 22:13:12
106247,common,4,Priest,Knight,AGI,AGI,gardening,7,7,55,2022-01-27 22:12:40
103958,common,3,Knight,Archer,AGI,WIS,foraging,0,0,"42,15",2022-01-27 22:12:05
96429,common,4,Paladin,Thief,END,WIS,gardening,1,2,85,2022-01-27 22:11:51
101528,common,2,Archer,Priest,LCK,VIT,foraging,7,7,65,2022-01-27 22:11:49
104978,common,4,Archer,Pirate,END,STR,foraging,5,5,59,2022-01-27 22:11:01
105388,common,2,Wizard,Monk,DEX,DEX,gardening,7,7,53,2022-01-27 22:10:38
103624,common,2,Archer,Priest,LCK,LCK,foraging,9,9,66,2022-01-27 22:09:43
19939,uncommon,1,Monk,Thief,INT,INT,foraging,1,10,69,2022-01-27 22:07:51
106220,common,1,Warrior,Pirate,WIS,STR,gardening,10,10,110,2022-01-27 22:05:53
105863,common,2,Archer,Wizard,END,LCK,foraging,6,6,58,2022-01-27 22:05:49
63240,common,2,Knight,Wizard,AGI,AGI,fishing,7,7,75,2022-01-27 22:03:37
105508,common,3,Warrior,DarkKnight,DEX,VIT,mining,6,6,85,2022-01-27 22:02:57
104456,common,3,DarkKnight,Thief,WIS,STR,fishing,3,3,59,2022-01-27 22:02:31
105028,common,2,Ninja,Thief,VIT,AGI,foraging,4,5,160,2022-01-27 22:00:52
105977,common,5,Warrior,Ninja,INT,AGI,fishing,3,3,44,2022-01-27 21:59:13
103157,common,3,Summoner,Pirate,DEX,END,gardening,4,5,"110,4",2022-01-27 21:59:03
95553,uncommon,1,DarkKnight,Priest,DEX,END,foraging,5,5,188,2022-01-27 21:55:07
95012,common,2,Pirate,Wizard,AGI,VIT,fishing,5,5,"62,14",2022-01-27 21:54:48
105810,common,5,Wizard,Knight,STR,END,foraging,1,1,46,2022-01-27 21:54:48
104758,common,3,Archer,Monk,AGI,WIS,gardening,0,0,42,2022-01-27 21:53:49
94090,common,2,Pirate,Archer,LCK,DEX,fishing,6,6,59,2022-01-27 21:52:47
98210,common,2,Pirate,Pirate,WIS,LCK,fishing,5,5,55,2022-01-27 21:51:31
94523,common,5,Pirate,Wizard,INT,AGI,fishing,2,2,55,2022-01-27 21:50:29
92571,common,1,Pirate,Knight,WIS,VIT,fishing,4,10,53,2022-01-27 21:48:46
105340,common,2,Knight,Warrior,DEX,WIS,mining,4,4,89,2022-01-27 21:47:20
26399,uncommon,2,Knight,Archer,STR,VIT,fishing,6,6,50,2022-01-27 21:46:50
104008,common,2,Priest,Warrior,DEX,WIS,gardening,6,6,55,2022-01-27 21:46:17
103516,common,2,Knight,Monk,LCK,STR,mining,8,9,189,2022-01-27 21:46:11
105806,rare,2,Wizard,Knight,STR,DEX,fishing,7,8,66,2022-01-27 21:46:02
104046,common,2,Warrior,Monk,INT,LCK,mining,8,9,159,2022-01-27 21:44:46
102155,uncommon,2,Knight,Wizard,STR,INT,gardening,5,5,50,2022-01-27 21:42:45
106011,common,3,Knight,Archer,VIT,STR,gardening,4,4,47,2022-01-27 21:41:55
104078,legendary,2,Warrior,Archer,STR,END,fishing,9,9,170,2022-01-27 21:41:48
105196,common,3,Pirate,Warrior,WIS,INT,gardening,8,8,"44,9",2022-01-27 21:40:55
57626,common,1,Pirate,Monk,DEX,LCK,foraging,6,10,64,2022-01-27 21:39:58
105381,common,3,Dragoon,Archer,INT,DEX,gardening,3,3,399,2022-01-27 21:39:46
106072,uncommon,2,Warrior,Wizard,VIT,AGI,foraging,7,7,"47,77",2022-01-27 21:39:40
74451,common,3,Summoner,Knight,DEX,INT,fishing,2,5,64,2022-01-27 21:38:59
61878,common,6,Dragoon,Knight,AGI,INT,foraging,0,2,150,2022-01-27 21:38:35
90637,common,2,Monk,Pirate,VIT,VIT,gardening,1,1,59,2022-01-27 21:37:44
96706,common,4,Thief,Warrior,END,INT,gardening,0,0,30,2022-01-27 21:35:38
68993,common,4,Priest,Warrior,DEX,DEX,foraging,5,5,69,2022-01-27 21:35:26
44295,rare,3,Ninja,Priest,WIS,STR,fishing,0,4,120,2022-01-27 21:34:45
93200,rare,3,Ninja,Archer,INT,END,fishing,4,4,120,2022-01-27 21:34:00
25069,legendary,3,Thief,Archer,END,STR,fishing,0,4,160,2022-01-27 21:33:05
96358,common,5,Paladin,Warrior,WIS,VIT,mining,1,1,100,2022-01-27 21:32:46
104317,common,2,Priest,Thief,VIT,VIT,foraging,8,9,51,2022-01-27 21:32:44
102499,uncommon,3,Wizard,Priest,AGI,WIS,fishing,6,7,52,2022-01-27 21:31:56
102541,uncommon,2,Monk,Warrior,AGI,AGI,foraging,6,6,"50,9",2022-01-27 21:30:33
106271,common,2,Monk,Pirate,DEX,END,foraging,7,7,"44,5",2022-01-27 21:30:03
83798,mythic,2,Thief,Wizard,VIT,END,fishing,3,5,320,2022-01-27 21:29:40
97616,common,2,Thief,Warrior,AGI,WIS,fishing,4,4,89,2022-01-27 21:29:03
101643,uncommon,2,Archer,Knight,WIS,WIS,mining,5,6,90,2022-01-27 21:27:26
106170,uncommon,2,Wizard,Archer,AGI,LCK,gardening,9,9,68,2022-01-27 21:27:20
104392,uncommon,1,Wizard,Priest,WIS,WIS,fishing,10,10,115,2022-01-27 21:26:32
95291,common,2,Thief,Thief,VIT,INT,gardening,7,7,40,2022-01-27 21:25:20
65868,uncommon,2,Sage,Archer,INT,INT,gardening,0,3,215,2022-01-27 21:24:55
90763,common,2,Pirate,Archer,AGI,AGI,fishing,3,4,"74,99",2022-01-27 21:24:03
104951,common,4,Pirate,Priest,LCK,WIS,fishing,1,1,51,2022-01-27 21:22:27
53705,common,2,Warrior,Priest,INT,LCK,fishing,7,7,"56,89",2022-01-27 21:21:21
106271,common,2,Monk,Pirate,DEX,END,foraging,7,7,41,2022-01-27 21:21:05
69586,rare,5,Thief,Archer,VIT,VIT,fishing,3,3,90,2022-01-27 21:21:01
103448,uncommon,2,Knight,Monk,VIT,INT,fishing,5,5,40,2022-01-27 21:20:55
88572,uncommon,2,Monk,Priest,LCK,STR,foraging,6,7,55,2022-01-27 21:20:39
26779,uncommon,5,Knight,Priest,END,VIT,gardening,1,2,60,2022-01-27 21:20:39
16218,uncommon,1,Thief,Priest,VIT,WIS,gardening,9,10,60,2022-01-27 21:19:47
53862,common,3,Thief,Pirate,AGI,STR,gardening,3,3,70,2022-01-27 21:19:22
106281,mythic,5,Summoner,Archer,END,VIT,fishing,3,3,849,2022-01-27 21:18:09
105687,common,4,Wizard,Thief,DEX,WIS,foraging,0,0,48,2022-01-27 21:17:59
71830,common,3,Monk,Thief,VIT,WIS,fishing,5,5,55,2022-01-27 21:16:56
43557,common,2,Knight,Knight,END,STR,foraging,7,9,55,2022-01-27 21:16:48
105658,uncommon,1,Priest,Pirate,LCK,LCK,mining,9,10,119,2022-01-27 21:15:53
100685,common,3,Pirate,Pirate,WIS,INT,fishing,2,2,"43,5",2022-01-27 21:15:35
105458,uncommon,1,Wizard,Pirate,AGI,LCK,fishing,9,10,100,2022-01-27 21:15:04
105565,common,2,Monk,Warrior,LCK,DEX,mining,6,7,75,2022-01-27 21:14:57
75597,common,1,DarkKnight,Monk,DEX,END,foraging,5,5,"222,22",2022-01-27 21:13:38
69876,uncommon,2,Knight,Paladin,LCK,AGI,foraging,7,7,65,2022-01-27 21:12:28
101234,uncommon,3,Archer,Pirate,VIT,WIS,mining,3,4,72,2022-01-27 21:12:14
95558,common,3,Archer,Knight,VIT,END,fishing,8,8,48,2022-01-27 21:12:12
89851,rare,2,Knight,Warrior,VIT,INT,foraging,5,9,85,2022-01-27 21:11:50
106186,common,3,Archer,Archer,VIT,VIT,mining,5,5,60,2022-01-27 21:11:21
103358,common,4,Paladin,Monk,WIS,LCK,mining,2,2,105,2022-01-27 21:11:19
94880,common,2,Paladin,Knight,END,AGI,gardening,0,5,75,2022-01-27 21:11:03
105310,common,3,Warrior,Pirate,DEX,INT,mining,5,5,69,2022-01-27 21:09:59
104981,rare,4,Ninja,Thief,END,VIT,foraging,3,4,110,2022-01-27 21:09:31
62649,common,2,Pirate,Thief,AGI,AGI,foraging,3,8,45,2022-01-27 21:08:08
105669,common,2,Priest,Knight,INT,VIT,mining,5,6,"64,99",2022-01-27 21:07:46
106277,common,3,Thief,Monk,INT,INT,mining,3,3,55,2022-01-27 21:07:42
67072,uncommon,3,Monk,Warrior,DEX,VIT,gardening,7,8,"62,5",2022-01-27 21:07:09
60401,uncommon,4,Warrior,Archer,DEX,VIT,mining,6,6,80,2022-01-27 21:07:06
59299,uncommon,2,Knight,Knight,INT,STR,fishing,3,5,57,2022-01-27 21:06:40
105062,uncommon,4,DarkKnight,Warrior,INT,INT,gardening,1,1,60,2022-01-27 21:05:44
105046,uncommon,3,Knight,Monk,VIT,END,foraging,4,4,45,2022-01-27 21:05:30
72333,common,1,Pirate,Warrior,LCK,LCK,fishing,9,10,110,2022-01-27 21:03:50
105322,uncommon,3,Monk,Wizard,WIS,LCK,mining,5,5,68,2022-01-27 21:01:23
102209,common,5,Knight,Monk,VIT,DEX,mining,2,2,79,2022-01-27 21:01:17
67144,uncommon,1,Wizard,Wizard,STR,LCK,gardening,0,10,75,2022-01-27 21:00:02
102913,common,2,DarkKnight,Wizard,LCK,LCK,mining,4,5,249,2022-01-27 20:59:42
105070,common,3,Pirate,Warrior,AGI,INT,mining,2,2,68,2022-01-27 20:58:57
103646,legendary,2,Thief,DarkKnight,INT,VIT,mining,4,5,200,2022-01-27 20:57:58
13979,common,1,Knight,Summoner,WIS,AGI,mining,4,10,95,2022-01-27 20:57:38
83653,uncommon,2,Sage,Pirate,WIS,LCK,mining,0,1,329,2022-01-27 20:56:40
106111,common,3,Summoner,Warrior,WIS,AGI,mining,3,4,69,2022-01-27 20:56:38
15890,common,4,Pirate,Warrior,LCK,AGI,fishing,4,4,70,2022-01-27 20:55:51
104340,uncommon,2,Archer,Wizard,VIT,DEX,foraging,8,9,"64,9",2022-01-27 20:55:39
105942,common,2,Pirate,Knight,WIS,INT,mining,4,4,63,2022-01-27 20:53:57
86903,common,1,Pirate,Archer,VIT,LCK,gardening,5,10,49,2022-01-27 20:53:28
22534,common,4,Warrior,Warrior,INT,WIS,foraging,2,2,"44,25",2022-01-27 20:53:19
106072,uncommon,2,Warrior,Wizard,VIT,AGI,foraging,7,7,44,2022-01-27 20:50:17
20786,common,2,Summoner,Monk,END,VIT,mining,5,5,120,2022-01-27 20:49:30
96453,rare,3,Knight,Monk,WIS,END,mining,5,8,110,2022-01-27 20:49:00
46758,uncommon,1,Monk,Wizard,STR,LCK,mining,10,10,250,2022-01-27 20:48:52
52796,common,2,Thief,Summoner,VIT,END,gardening,6,6,40,2022-01-27 20:47:40
104607,uncommon,3,Pirate,Monk,VIT,LCK,fishing,5,5,65,2022-01-27 20:47:38
100508,uncommon,1,Knight,Priest,VIT,END,mining,10,10,340,2022-01-27 20:46:06
104340,uncommon,2,Archer,Wizard,VIT,DEX,foraging,8,9,60,2022-01-27 20:44:51
60624,common,2,Paladin,Warrior,INT,LCK,mining,5,5,222,2022-01-27 20:43:33
105166,common,2,Monk,Thief,VIT,AGI,fishing,4,4,48,2022-01-27 20:42:54
103368,common,3,Thief,Archer,WIS,INT,mining,7,7,65,2022-01-27 20:42:09
105540,common,2,Wizard,Warrior,AGI,VIT,fishing,4,4,50,2022-01-27 20:42:09
104112,uncommon,3,Archer,Knight,WIS,LCK,mining,1,1,65,2022-01-27 20:40:51
87847,uncommon,1,Wizard,Ninja,INT,DEX,fishing,10,10,105,2022-01-27 20:39:07
104993,common,5,Wizard,Pirate,VIT,INT,fishing,2,2,45,2022-01-27 20:37:43
87562,common,1,Warrior,Thief,INT,WIS,gardening,5,10,50,2022-01-27 20:37:12
106043,common,2,Archer,Wizard,STR,VIT,mining,7,7,"64,9",2022-01-27 20:36:50
105992,uncommon,4,DarkKnight,Archer,END,LCK,foraging,1,1,74,2022-01-27 20:36:40
105645,common,2,Archer,Thief,VIT,WIS,fishing,7,7,48,2022-01-27 20:36:31
103485,common,5,Knight,Thief,AGI,WIS,fishing,0,0,"45,03",2022-01-27 20:34:47
46547,common,2,Monk,Thief,VIT,VIT,gardening,7,8,49,2022-01-27 20:34:14
99583,common,3,Warrior,Warrior,INT,INT,mining,1,3,74,2022-01-27 20:33:41
105944,rare,2,Monk,Warrior,END,WIS,mining,4,4,"94,9",2022-01-27 20:32:40
104433,common,3,Summoner,Knight,INT,WIS,foraging,3,3,85,2022-01-27 20:32:30
97683,uncommon,4,Paladin,Knight,END,AGI,fishing,2,2,73,2022-01-27 20:31:43
102468,common,3,Summoner,Monk,STR,VIT,foraging,3,3,67,2022-01-27 20:30:55
51233,uncommon,2,Archer,Knight,END,WIS,mining,1,4,110,2022-01-27 20:30:23
105728,common,2,Monk,Wizard,WIS,STR,fishing,4,4,40,2022-01-27 20:28:58
102318,common,1,Priest,Priest,INT,DEX,foraging,9,10,100,2022-01-27 20:28:27
103728,common,2,DarkKnight,Warrior,STR,LCK,gardening,5,5,135,2022-01-27 20:28:23
39277,common,3,Paladin,Pirate,END,INT,mining,0,3,290,2022-01-27 20:28:04
97743,common,2,Warrior,Wizard,STR,VIT,gardening,5,9,42,2022-01-27 20:27:52
71715,uncommon,3,Warrior,Archer,STR,VIT,mining,5,5,83,2022-01-27 20:27:18
100330,uncommon,3,Ninja,Wizard,AGI,WIS,foraging,1,1,70,2022-01-27 20:26:14
84659,uncommon,2,Pirate,Monk,AGI,VIT,foraging,7,8,60,2022-01-27 20:26:00
94546,common,1,Archer,Pirate,STR,VIT,gardening,5,10,50,2022-01-27 20:24:56
91020,common,2,Wizard,Priest,STR,DEX,fishing,8,9,46,2022-01-27 20:23:35
90356,uncommon,1,Priest,Archer,INT,STR,gardening,6,10,79,2022-01-27 20:21:42
97262,uncommon,1,Wizard,Warrior,LCK,END,mining,5,10,"67,9",2022-01-27 20:20:21
105312,common,2,Priest,Thief,WIS,DEX,mining,3,4,64,2022-01-27 20:17:43
106229,common,3,Wizard,Wizard,WIS,WIS,mining,3,3,63,2022-01-27 20:17:23
105454,uncommon,1,Ninja,Archer,END,VIT,fishing,4,5,210,2022-01-27 20:17:21
39989,uncommon,3,Archer,Warrior,LCK,DEX,fishing,4,4,60,2022-01-27 20:17:07
105122,common,1,Pirate,Wizard,END,INT,gardening,9,10,91,2022-01-27 20:16:35
103250,rare,2,Warrior,Wizard,STR,END,fishing,7,7,70,2022-01-27 20:15:45
100807,common,3,Priest,Warrior,LCK,STR,foraging,2,2,45,2022-01-27 20:15:29
97196,common,1,Pirate,Warrior,LCK,LCK,gardening,9,10,90,2022-01-27 20:15:07
70990,common,1,Monk,Summoner,DEX,END,fishing,3,10,47,2022-01-27 20:15:05
104842,uncommon,1,Priest,Thief,DEX,AGI,mining,9,10,94,2022-01-27 20:15:03
72744,common,3,Monk,Monk,END,AGI,mining,2,2,95,2022-01-27 20:14:45
76914,uncommon,2,Thief,Thief,LCK,LCK,fishing,2,2,"169,82",2022-01-27 20:14:34
98183,common,1,Monk,Priest,END,END,foraging,9,10,90,2022-01-27 20:14:34
105900,uncommon,3,Ninja,Priest,END,END,mining,2,2,70,2022-01-27 20:12:35
